
running 1 test
test middleware::audit_body_bench::benchmark_auth_body_admission ... AUTH_CSV,offered_bytes,limit_bytes,sample,polled_bytes,status,elapsed_us
AUTH_CSV,32768,65536,0,32768,404,44
AUTH_CSV,32768,65536,1,32768,404,3
AUTH_CSV,32768,65536,2,32768,404,3
AUTH_CSV,32768,65536,3,32768,404,2
AUTH_CSV,32768,65536,4,32768,404,2
AUTH_CSV,32768,65536,5,32768,404,2
AUTH_CSV,32768,65536,6,32768,404,2
AUTH_CSV,131072,65536,0,131072,404,8
AUTH_CSV,131072,65536,1,131072,404,4
AUTH_CSV,131072,65536,2,131072,404,4
AUTH_CSV,131072,65536,3,131072,404,4
AUTH_CSV,131072,65536,4,131072,404,4
AUTH_CSV,131072,65536,5,131072,404,4
AUTH_CSV,131072,65536,6,131072,404,4
AUTH_CSV,67108864,65536,0,67108864,404,4513
AUTH_CSV,67108864,65536,1,67108864,404,4380
AUTH_CSV,67108864,65536,2,67108864,404,3593
AUTH_CSV,67108864,65536,3,67108864,404,3439
AUTH_CSV,67108864,65536,4,67108864,404,3412
AUTH_CSV,67108864,65536,5,67108864,404,3840
AUTH_CSV,67108864,65536,6,67108864,404,3711
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 95 filtered out; finished in 0.03s

